delta,lam,ell,a,m_det,class,margin
11,30|7|2|2|1|1|1,7,0,-1,a0,
11,30|6|4|1|1|1|1,7,0,-1,a0,
11,30|6|3|2|1|1|1,7,0,-1,a0,
11,30|6|2|2|2|1|1,7,0,-1,a0,
11,30|5|5|1|1|1|1,7,0,-1,a0,
11,30|5|4|2|1|1|1,7,0,-1,a0,
11,30|5|3|3|1|1|1,7,0,-1,a0,
11,30|5|3|2|2|1|1,7,1,1374,silent,1373
11,30|5|2|2|2|2|1,7,2,427,silent,425
11,30|4|4|3|1|1|1,7,0,-1,a0,
11,30|4|4|2|2|1|1,7,0,-1,a0,
11,30|4|3|3|2|1|1,7,0,-1,a0,
11,30|4|3|2|2|2|1,7,1,681,silent,680
11,30|4|2|2|2|2|2,7,3,179,silent,176
11,30|3|3|3|3|1|1,7,0,-1,a0,
11,30|3|3|3|2|2|1,7,0,-1,a0,
11,30|3|3|2|2|2|2,7,0,-1,a0,
11,29|10|1|1|1|1|1,7,0,-1,a0,
11,29|9|2|1|1|1|1,7,0,-1,a0,
11,29|8|3|1|1|1|1,7,0,-1,a0,
11,29|8|2|2|1|1|1,7,0,-1,a0,
11,29|7|4|1|1|1|1,7,0,-1,a0,
11,29|7|3|2|1|1|1,7,0,-1,a0,
11,29|7|2|2|2|1|1,7,1,966,silent,965
11,29|6|5|1|1|1|1,7,0,-1,a0,
11,29|6|4|2|1|1|1,7,0,-1,a0,
11,29|6|3|3|1|1|1,7,1,2305,silent,2304
11,29|6|3|2|2|1|1,7,2,2942,silent,2940
11,29|6|2|2|2|2|1,7,4,861,silent,857
11,29|5|5|2|1|1|1,7,1,1592,silent,1591
11,29|5|4|3|1|1|1,7,0,-1,a0,
11,29|5|4|2|2|1|1,7,2,3079,silent,3077
11,29|5|3|3|2|1|1,7,1,3007,silent,3006
11,29|5|3|2|2|2|1,7,4,1958,silent,1954
11,29|5|2|2|2|2|2,7,4,385,silent,381
11,29|4|4|4|1|1|1,7,0,-1,a0,
11,29|4|4|3|2|1|1,7,0,-1,a0,
11,29|4|4|2|2|2|1,7,3,1222,silent,1219
11,29|4|3|3|3|1|1,7,0,-1,a0,
11,29|4|3|3|2|2|1,7,0,-1,a0,
11,29|4|3|2|2|2|2,7,2,568,silent,566
11,29|3|3|3|3|2|1,7,0,-1,a0,
11,29|3|3|3|2|2|2,7,0,-1,a0,
11,28|11|1|1|1|1|1,7,0,-1,a0,
11,28|10|2|1|1|1|1,7,0,-1,a0,
11,28|9|3|1|1|1|1,7,0,-1,a0,
11,28|9|2|2|1|1|1,7,0,-1,a0,
11,28|8|4|1|1|1|1,7,0,-1,a0,
11,28|8|3|2|1|1|1,7,1,3708,silent,3707
11,28|8|2|2|2|1|1,7,1,1481,silent,1480
11,28|7|5|1|1|1|1,7,0,-1,a0,
11,28|7|4|2|1|1|1,7,1,6132,silent,6131
11,28|7|3|3|1|1|1,7,1,4288,silent,4287
11,28|7|3|2|2|1|1,7,6,5462,silent,5456
11,28|7|2|2|2|2|1,7,7,1509,silent,1502
11,28|6|6|1|1|1|1,7,0,-1,a0,
11,28|6|5|2|1|1|1,7,2,5187,silent,5185
11,28|6|4|3|1|1|1,7,2,7310,silent,7308
11,28|6|4|2|2|1|1,7,5,7724,silent,7719
11,28|6|3|3|2|1|1,7,4,6978,silent,6974
11,28|6|3|2|2|2|1,7,9,4430,silent,4421
11,28|6|2|2|2|2|2,7,9,825,silent,816
11,28|5|5|3|1|1|1,7,2,3953,silent,3951
11,28|5|5|2|2|1|1,7,5,4012,silent,4007
11,28|5|4|4|1|1|1,7,0,-1,a0,
11,28|5|4|3|2|1|1,7,4,9155,silent,9151
11,28|5|4|2|2|2|1,7,9,4789,silent,4780
11,28|5|3|3|3|1|1,7,0,-1,a0,
11,28|5|3|3|2|2|1,7,2,4683,silent,4681
11,28|5|3|2|2|2|2,7,4,1653,silent,1649
11,28|4|4|4|2|1|1,7,0,-1,a0,
11,28|4|4|3|3|1|1,7,0,-1,a0,
11,28|4|4|3|2|2|1,7,2,3593,silent,3591
11,28|4|4|2|2|2|2,7,6,1160,silent,1154
11,28|4|3|3|3|2|1,7,0,-1,a0,
11,28|4|3|3|2|2|2,7,0,-1,a0,
11,28|3|3|3|3|3|1,7,0,-1,a0,
11,28|3|3|3|3|2|2,7,0,-1,a0,
11,27|12|1|1|1|1|1,7,0,-1,a0,
11,27|11|2|1|1|1|1,7,0,-1,a0,
11,27|10|3|1|1|1|1,7,0,-1,a0,
11,27|10|2|2|1|1|1,7,0,-1,a0,
11,27|9|4|1|1|1|1,7,0,-1,a0,
11,27|9|3|2|1|1|1,7,2,5472,silent,5470
11,27|9|2|2|2|1|1,7,3,2197,silent,2194
11,27|8|5|1|1|1|1,7,1,3968,silent,3967
11,27|8|4|2|1|1|1,7,3,10505,silent,10502
11,27|8|3|3|1|1|1,7,4,7141,silent,7137
11,27|8|3|2|2|1|1,7,10,8988,silent,8978
11,27|8|2|2|2|2|1,7,12,2415,silent,2403
11,27|7|6|1|1|1|1,7,0,-1,a0,
11,27|7|5|2|1|1|1,7,6,11899,silent,11893
11,27|7|4|3|1|1|1,7,5,15183,silent,15178
11,27|7|4|2|2|1|1,7,16,15951,silent,15935
11,27|7|3|3|2|1|1,7,9,13559,silent,13550
11,27|7|3|2|2|2|1,7,19,8430,silent,8411
11,27|7|2|2|2|2|2,7,11,1391,silent,1380
11,27|6|6|2|1|1|1,7,1,5213,silent,5212
11,27|6|5|3|1|1|1,7,8,13999,silent,13991
11,27|6|5|2|2|1|1,7,13,13778,silent,13765
11,27|6|4|4|1|1|1,7,1,8354,silent,8353
11,27|6|4|3|2|1|1,7,14,24834,silent,24820
11,27|6|4|2|2|2|1,7,24,12580,silent,12556
11,27|6|3|3|3|1|1,7,2,7978,silent,7976
11,27|6|3|3|2|2|1,7,6,11379,silent,11373
11,27|6|3|2|2|2|2,7,12,3920,silent,3908
11,27|5|5|4|1|1|1,7,5,5798,silent,5793
11,27|5|5|3|2|1|1,7,10,13555,silent,13545
11,27|5|5|2|2|2|1,7,8,6238,silent,6230
11,27|5|4|4|2|1|1,7,5,11125,silent,11120
11,27|5|4|3|3|1|1,7,2,11431,silent,11429
11,27|5|4|3|2|2|1,7,12,15818,silent,15806
11,27|5|4|2|2|2|2,7,11,4317,silent,4306
11,27|5|3|3|3|2|1,7,0,-1,a0,
11,27|5|3|3|2|2|2,7,1,4131,silent,4130
11,27|4|4|4|3|1|1,7,0,-1,a0,
11,27|4|4|4|2|2|1,7,5,4229,silent,4224
11,27|4|4|3|3|2|1,7,0,-1,a0,
11,27|4|4|3|2|2|2,7,4,3363,silent,3359
11,27|4|3|3|3|3|1,7,0,-1,a0,
11,27|4|3|3|3|2|2,7,0,-1,a0,
11,27|3|3|3|3|3|2,7,0,-1,a0,
11,26|13|1|1|1|1|1,7,0,-1,a0,
11,26|12|2|1|1|1|1,7,0,-1,a0,
11,26|11|3|1|1|1|1,7,0,-1,a0,
11,26|11|2|2|1|1|1,7,0,-1,a0,
11,26|10|4|1|1|1|1,7,1,4361,silent,4360
11,26|10|3|2|1|1|1,7,3,7468,silent,7465
11,26|10|2|2|2|1|1,7,4,2940,silent,2936
11,26|9|5|1|1|1|1,7,1,6346,silent,6345
11,26|9|4|2|1|1|1,7,7,16353,silent,16346
11,26|9|3|3|1|1|1,7,7,10850,silent,10843
11,26|9|3|2|2|1|1,7,19,13617,silent,13598
11,26|9|2|2|2|2|1,7,17,3547,silent,3530
11,26|8|6|1|1|1|1,7,2,6034,silent,6032
11,26|8|5|2|1|1|1,7,14,22335,silent,22321
11,26|8|4|3|1|1|1,7,14,27210,silent,27196
11,26|8|4|2|2|1|1,7,29,28156,silent,28127
11,26|8|3|3|2|1|1,7,20,23422,silent,23402
11,26|8|3|2|2|2|1,7,33,14322,silent,14289
11,26|8|2|2|2|2|2,7,20,2318,silent,2298
11,26|7|7|1|1|1|1,7,0,-1,a0,
11,26|7|6|2|1|1|1,7,8,16692,silent,16684
11,26|7|5|3|1|1|1,7,20,33755,silent,33735
11,26|7|5|2|2|1|1,7,38,32832,silent,32794
11,26|7|4|4|1|1|1,7,8,18816,silent,18808
11,26|7|4|3|2|1|1,7,37,53599,silent,53562
11,26|7|4|2|2|2|1,7,50,26348,silent,26298
11,26|7|3|3|3|1|1,7,4,16223,silent,16219
11,26|7|3|3|2|2|1,7,17,23037,silent,23020
11,26|7|3|2|2|2|2,7,20,7587,silent,7567
11,26|6|6|3|1|1|1,7,8,15520,silent,15512
11,26|6|6|2|2|1|1,7,10,14679,silent,14669
11,26|6|5|4|1|1|1,7,13,22484,silent,22471
11,26|6|5|3|2|1|1,7,38,50520,silent,50482
11,26|6|5|2|2|2|1,7,34,22862,silent,22828
11,26|6|4|4|2|1|1,7,17,33241,silent,33224
11,26|6|4|3|3|1|1,7,12,32796,silent,32784
11,26|6|4|3|2|2|1,7,36,44575,silent,44539
11,26|6|4|2|2|2|2,7,32,11800,silent,11768
11,26|6|3|3|3|2|1,7,1,17676,silent,17675
11,26|6|3|3|2|2|2,7,4,10378,silent,10374
11,26|5|5|5|1|1|1,7,7,4711,silent,4704
11,26|5|5|4|2|1|1,7,19,22975,silent,22956
11,26|5|5|3|3|1|1,7,6,18326,silent,18320
11,26|5|5|3|2|2|1,7,16,24181,silent,24165
11,26|5|5|2|2|2|2,7,5,5570,silent,5565
11,26|5|4|4|3|1|1,7,7,18889,silent,18882
11,26|5|4|4|2|2|1,7,19,21389,silent,21370
11,26|5|4|3|3|2|1,7,5,26518,silent,26513
11,26|5|4|3|2|2|2,7,12,15026,silent,15014
11,26|5|3|3|3|3|1,7,0,-1,a0,
11,26|5|3|3|3|2|2,7,0,-1,a0,
11,26|4|4|4|4|1|1,7,0,-1,a0,
11,26|4|4|4|3|2|1,7,3,8816,silent,8813
11,26|4|4|4|2|2|2,7,10,4391,silent,4381
11,26|4|4|3|3|3|1,7,0,-1,a0,
11,26|4|4|3|3|2|2,7,0,-1,a0,
11,26|4|3|3|3|3|2,7,0,-1,a0,
11,26|3|3|3|3|3|3,7,0,-1,a0,
11,25|14|1|1|1|1|1,7,0,-1,a0,
11,25|13|2|1|1|1|1,7,0,-1,a0,
11,25|12|3|1|1|1|1,7,0,-1,a0,
11,25|12|2|2|1|1|1,7,0,-1,a0,
11,25|11|4|1|1|1|1,7,0,-1,a0,
11,25|11|3|2|1|1|1,7,5,9516,silent,9511
11,25|11|2|2|2|1|1,7,7,3765,silent,3758
11,25|10|5|1|1|1|1,7,3,9221,silent,9218
11,25|10|4|2|1|1|1,7,12,23218,silent,23206
11,25|10|3|3|1|1|1,7,12,15188,silent,15176
11,25|10|3|2|2|1|1,7,28,18954,silent,18926
11,25|10|2|2|2|2|1,7,24,4849,silent,4825
11,25|9|6|1|1|1|1,7,3,10510,silent,10507
11,25|9|5|2|1|1|1,7,27,36981,silent,36954
11,25|9|4|3|1|1|1,7,26,43646,silent,43620
11,25|9|4|2|2|1|1,7,57,45002,silent,44945
11,25|9|3|3|2|1|1,7,34,36470,silent,36436
11,25|9|3|2|2|2|1,7,53,22027,silent,21974
11,25|9|2|2|2|2|2,7,23,3324,silent,3301
11,25|8|7|1|1|1|1,7,3,7258,silent,7255
11,25|8|6|2|1|1|1,7,22,36341,silent,36319
11,25|8|5|3|1|1|1,7,49,66182,silent,66133
11,25|8|5|2|2|1|1,7,73,63583,silent,63510
11,25|8|4|4|1|1|1,7,16,35611,silent,35595
11,25|8|4|3|2|1|1,7,80,99017,silent,98937
11,25|8|4|2|2|2|1,7,91,47807,silent,47716
11,25|8|3|3|3|1|1,7,13,29004,silent,28991
11,25|8|3|3|2|2|1,7,34,40870,silent,40836
11,25|8|3|2|2|2|2,7,37,13199,silent,13162
11,25|7|7|2|1|1|1,7,12,15721,silent,15709
11,25|7|6|3|1|1|1,7,31,51817,silent,51786
11,25|7|6|2|2|1|1,7,52,48628,silent,48576
11,25|7|5|4|1|1|1,7,41,58216,silent,58175
11,25|7|5|3|2|1|1,7,101,126277,silent,126176
11,25|7|5|2|2|2|1,7,83,55711,silent,55628
11,25|7|4|4|2|1|1,7,54,77289,silent,77235
11,25|7|4|3|3|1|1,7,29,73577,silent,73548
11,25|7|4|3|2|2|1,7,87,98854,silent,98767
11,25|7|4|2|2|2|2,7,53,24809,silent,24756
11,25|7|3|3|3|2|1,7,5,37329,silent,37324
11,25|7|3|3|2|2|2,7,13,21736,silent,21723
11,25|6|6|4|1|1|1,7,11,28848,silent,28837
11,25|6|6|3|2|1|1,7,41,59282,silent,59241
11,25|6|6|2|2|2|1,7,39,25832,silent,25793
11,25|6|5|5|1|1|1,7,20,20985,silent,20965
11,25|6|5|4|2|1|1,7,67,93687,silent,93620
11,25|6|5|3|3|1|1,7,35,72324,silent,72289
11,25|6|5|3|2|2|1,7,71,94201,silent,94130
11,25|6|5|2|2|2|2,7,35,21589,silent,21554
11,25|6|4|4|3|1|1,7,25,59574,silent,59549
11,25|6|4|4|2|2|1,7,60,66059,silent,65999
11,25|6|4|3|3|2|1,7,20,78638,silent,78618
11,25|6|4|3|2|2|2,7,37,43593,silent,43556
11,25|6|3|3|3|3|1,7,0,-1,a0,
11,25|6|3|3|3|2|2,7,0,-1,a0,
11,25|5|5|5|2|1|1,7,18,19899,silent,19881
11,25|5|5|4|3|1|1,7,24,42214,silent,42190
11,25|5|5|4|2|2|1,7,27,44589,silent,44562
11,25|5|5|3|3|2|1,7,13,44660,silent,44647
11,25|5|5|3|2|2|2,7,11,23520,silent,23509
11,25|5|4|4|4|1|1,7,8,14651,silent,14643
11,25|5|4|4|3|2|1,7,22,48465,silent,48443
11,25|5|4|4|2|2|2,7,22,21756,silent,21734
11,25|5|4|3|3|3|1,7,0,-1,a0,
11,25|5|4|3|3|2|2,7,4,28453,silent,28449
11,25|5|3|3|3|3|2,7,0,-1,a0,
11,25|4|4|4|4|2|1,7,7,7283,silent,7276
11,25|4|4|4|3|3|1,7,0,-1,a0,
11,25|4|4|4|3|2|2,7,6,9914,silent,9908
11,25|4|4|3|3|3|2,7,0,-1,a0,
11,25|4|3|3|3|3|3,7,0,-1,a0,
11,24|15|1|1|1|1|1,7,0,-1,a0,
11,24|14|2|1|1|1|1,7,0,-1,a0,
11,24|13|3|1|1|1|1,7,0,-1,a0,
11,24|13|2|2|1|1|1,7,0,-1,a0,
11,24|12|4|1|1|1|1,7,1,6635,silent,6634
11,24|12|3|2|1|1|1,7,7,11193,silent,11186
11,24|12|2|2|2|1|1,7,7,4360,silent,4353
11,24|11|5|1|1|1|1,7,4,12173,silent,12169
11,24|11|4|2|1|1|1,7,19,30293,silent,30274
11,24|11|3|3|1|1|1,7,16,19562,silent,19546
11,24|11|3|2|2|1|1,7,41,24380,silent,24339
11,24|11|2|2|2|2|1,7,30,6117,silent,6087
11,24|10|6|1|1|1|1,7,7,16126,silent,16119
11,24|10|5|2|1|1|1,7,44,54610,silent,54566
11,24|10|4|3|1|1|1,7,47,63319,silent,63272
11,24|10|4|2|2|1|1,7,83,64708,silent,64625
11,24|10|3|3|2|1|1,7,56,51962,silent,51906
11,24|10|3|2|2|2|1,7,77,31059,silent,30982
11,24|10|2|2|2|2|2,7,34,4646,silent,4612
11,24|9|7|1|1|1|1,7,6,14496,silent,14490
11,24|9|6|2|1|1|1,7,49,65411,silent,65362
11,24|9|5|3|1|1|1,7,90,112475,silent,112385
11,24|9|5|2|2|1|1,7,137,107370,silent,107233
11,24|9|4|4|1|1|1,7,36,59476,silent,59440
11,24|9|4|3|2|1|1,7,146,162129,silent,161983
11,24|9|4|2|2|2|1,7,146,77039,silent,76893
11,24|9|3|3|3|1|1,7,22,46318,silent,46296
11,24|9|3|3|2|2|1,7,62,65029,silent,64967
11,24|9|3|2|2|2|2,7,53,20480,silent,20427
11,24|8|8|1|1|1|1,7,5,5903,silent,5898
11,24|8|7|2|1|1|1,7,37,46218,silent,46181
11,24|8|6|3|1|1|1,7,85,117037,silent,116952
11,24|8|6|2|2|1|1,7,113,108459,silent,108346
11,24|8|5|4|1|1|1,7,90,119656,silent,119566
11,24|8|5|3|2|1|1,7,221,254452,silent,254231
11,24|8|5|2|2|2|1,7,165,110650,silent,110485
11,24|8|4|4|2|1|1,7,109,149856,silent,149747
11,24|8|4|3|3|1|1,7,74,140426,silent,140352
11,24|8|4|3|2|2|1,7,171,186720,silent,186549
11,24|8|4|2|2|2|2,7,101,46006,silent,45905
11,24|8|3|3|3|2|1,7,16,68302,silent,68286
11,24|8|3|3|2|2|2,7,24,39247,silent,39223
11,24|7|7|3|1|1|1,7,36,51351,silent,51315
11,24|7|7|2|2|1|1,7,60,47217,silent,47157
11,24|7|6|4|1|1|1,7,66,103011,silent,102945
11,24|7|6|3|2|1|1,7,158,203629,silent,203471
11,24|7|6|2|2|2|1,7,118,85880,silent,85762
11,24|7|5|5|1|1|1,7,50,58870,silent,58820
11,24|7|5|4|2|1|1,7,193,249954,silent,249761
11,24|7|5|3|3|1|1,7,92,187721,silent,187629
11,24|7|5|3|2|2|1,7,191,241765,silent,241574
11,24|7|5|2|2|2|2,7,72,53379,silent,53307
11,24|7|4|4|3|1|1,7,75,143502,silent,143427
11,24|7|4|4|2|2|1,7,134,156022,silent,155888
11,24|7|4|3|3|2|1,7,59,181876,silent,181817
11,24|7|4|3|2|2|2,7,80,98573,silent,98493
11,24|7|3|3|3|3|1,7,0,-1,a0,
11,24|7|3|3|3|2|2,7,3,40084,silent,40081
11,24|6|6|5|1|1|1,7,19,36372,silent,36353
11,24|6|6|4|2|1|1,7,76,126674,silent,126598
11,24|6|6|3|3|1|1,7,48,90459,silent,90411
11,24|6|6|3|2|2|1,7,91,115681,silent,115590
11,24|6|6|2|2|2|2,7,49,25545,silent,25496
11,24|6|5|5|2|1|1,7,73,93677,silent,93604
11,24|6|5|4|3|1|1,7,97,181500,silent,181403
11,24|6|5|4|2|2|1,7,133,190079,silent,189946
11,24|6|5|3|3|2|1,7,61,181624,silent,181563
11,24|6|5|3|2|2|2,7,58,94643,silent,94585
11,24|6|4|4|4|1|1,7,23,49208,silent,49185
11,24|6|4|4|3|2|1,7,73,157475,silent,157402
11,24|6|4|4|2|2|2,7,69,69010,silent,68941
11,24|6|4|3|3|3|1,7,4,70447,silent,70443
11,24|6|4|3|3|2|2,7,14,86450,silent,86436
11,24|6|3|3|3|3|2,7,0,-1,a0,
11,24|5|5|5|3|1|1,7,25,41833,silent,41808
11,24|5|5|5|2|2|1,7,16,40235,silent,40219
11,24|5|5|4|4|1|1,7,27,37901,silent,37874
11,24|5|5|4|3|2|1,7,44,111404,silent,111360
11,24|5|5|4|2|2|2,7,17,45755,silent,45738
11,24|5|5|3|3|3|1,7,4,40961,silent,40957
11,24|5|5|3|3|2|2,7,12,49828,silent,49816
11,24|5|4|4|4|2|1,7,29,43284,silent,43255
11,24|5|4|4|3|3|1,7,8,47261,silent,47253
11,24|5|4|4|3|2|2,7,22,55452,silent,55430
11,24|5|4|3|3|3|2,7,0,-1,a0,
11,24|5|3|3|3|3|3,7,0,-1,a0,
11,24|4|4|4|4|3|1,7,4,9043,silent,9039
11,24|4|4|4|4|2|2,7,13,9123,silent,9110
11,24|4|4|4|3|3|2,7,0,-1,a0,
11,24|4|4|3|3|3|3,7,0,-1,a0,
11,23|16|1|1|1|1|1,7,0,-1,a0,
11,23|15|2|1|1|1|1,7,0,-1,a0,
11,23|14|3|1|1|1|1,7,0,-1,a0,
11,23|14|2|2|1|1|1,7,0,-1,a0,
11,23|13|4|1|1|1|1,7,1,7249,silent,7248
11,23|13|3|2|1|1|1,7,8,12234,silent,12226
11,23|13|2|2|2|1|1,7,11,4798,silent,4787
11,23|12|5|1|1|1|1,7,6,14697,silent,14691
11,23|12|4|2|1|1|1,7,26,36186,silent,36160
11,23|12|3|3|1|1|1,7,23,23194,silent,23171
11,23|12|3|2|2|1|1,7,50,28789,silent,28739
11,23|12|2|2|2|2|1,7,36,7140,silent,7104
11,23|11|6|1|1|1|1,7,9,21937,silent,21928
11,23|11|5|2|1|1|1,7,66,73010,silent,72944
11,23|11|4|3|1|1|1,7,66,83440,silent,83374
11,23|11|4|2|2|1|1,7,125,85137,silent,85012
11,23|11|3|3|2|1|1,7,77,67399,silent,67322
11,23|11|3|2|2|2|1,7,101,39971,silent,39870
11,23|11|2|2|2|2|2,7,36,5710,silent,5674
11,23|10|7|1|1|1|1,7,14,23811,silent,23797
11,23|10|6|2|1|1|1,7,83,101483,silent,101400
11,23|10|5|3|1|1|1,7,150,169052,silent,168902
11,23|10|5|2|2|1|1,7,208,160364,silent,160156
11,23|10|4|4|1|1|1,7,61,88369,silent,88308
11,23|10|4|3|2|1|1,7,231,237809,silent,237578
11,23|10|4|2|2|2|1,7,214,111816,silent,111602
11,23|10|3|3|3|1|1,7,41,66905,silent,66864
11,23|10|3|3|2|2|1,7,95,93480,silent,93385
11,23|10|3|2|2|2|2,7,77,29040,silent,28963
11,23|9|8|1|1|1|1,7,9,15812,silent,15803
11,23|9|7|2|1|1|1,7,85,94403,silent,94318
11,23|9|6|3|1|1|1,7,170,214906,silent,214736
11,23|9|6|2|2|1|1,7,231,198147,silent,197916
11,23|9|5|4|1|1|1,7,171,209925,silent,209754
11,23|9|5|3|2|1|1,7,401,439337,silent,438936
11,23|9|5|2|2|2|1,7,277,188505,silent,188228
11,23|9|4|4|2|1|1,7,210,253997,silent,253787
11,23|9|4|3|3|1|1,7,131,234228,silent,234097
11,23|9|4|3|2|2|1,7,297,309394,silent,309097
11,23|9|4|2|2|2|2,7,140,74121,silent,73981
11,23|9|3|3|3|2|1,7,33,110973,silent,110940
11,23|9|3|3|2|2|2,7,48,63395,silent,63347
11,23|8|8|2|1|1|1,7,31,38519,silent,38488
11,23|8|7|3|1|1|1,7,126,156200,silent,156074
11,23|8|7|2|2|1|1,7,156,141868,silent,141712
11,23|8|6|4|1|1|1,7,166,242302,silent,242136
11,23|8|6|3|2|1|1,7,383,469518,silent,469135
11,23|8|6|2|2|2|1,7,260,195097,silent,194837
11,23|8|5|5|1|1|1,7,114,127568,silent,127454
11,23|8|5|4|2|1|1,7,410,525336,silent,524926
11,23|8|5|3|3|1|1,7,223,388654,silent,388431
11,23|8|5|3|2|2|1,7,400,496373,silent,495973
11,23|8|5|2|2|2|2,7,152,107820,silent,107668
11,23|8|4|4|3|1|1,7,158,286234,silent,286076
11,23|8|4|4|2|2|1,7,265,307804,silent,307539
11,23|8|4|3|3|2|1,7,135,353338,silent,353203
11,23|8|4|3|2|2|2,7,152,188876,silent,188724
11,23|8|3|3|3|3|1,7,3,60268,silent,60265
11,23|8|3|3|3|2|2,7,7,74448,silent,74441
11,23|7|7|4|1|1|1,7,89,110822,silent,110733
11,23|7|7|3|2|1|1,7,168,207309,silent,207141
11,23|7|7|2|2|2|1,7,99,84087,silent,83988
11,23|7|6|5|1|1|1,7,92,140196,silent,140104
11,23|7|6|4|2|1|1,7,326,461708,silent,461382
11,23|7|6|3|3|1|1,7,164,319792,silent,319628
11,23|7|6|3|2|2|1,7,307,403699,silent,403392
11,23|7|6|2|2|2|2,7,107,84562,silent,84455
11,23|7|5|5|2|1|1,7,197,270377,silent,270180
11,23|7|5|4|3|1|1,7,279,500712,silent,500433
11,23|7|5|4|2|2|1,7,352,517264,silent,516912
11,23|7|5|3|3|2|1,7,180,483105,silent,482925
11,23|7|5|3|2|2|2,7,152,247345,silent,247193
11,23|7|4|4|4|1|1,7,76,124542,silent,124466
11,23|7|4|4|3|2|1,7,182,386661,silent,386479
11,23|7|4|4|2|2|2,7,129,164447,silent,164318
11,23|7|4|3|3|3|1,7,15,167704,silent,167689
11,23|7|4|3|3|2|2,7,48,204468,silent,204420
11,23|7|3|3|3|3|2,7,0,-1,a0,
11,23|6|6|6|1|1|1,7,6,25058,silent,25052
11,23|6|6|5|2|1|1,7,102,171549,silent,171447
11,23|6|6|4|3|1|1,7,124,260214,silent,260090
11,23|6|6|4|2|2|1,7,189,267667,silent,267478
11,23|6|6|3|3|2|1,7,85,234953,silent,234868
11,23|6|6|3|2|2|2,7,85,119947,silent,119862
11,23|6|5|5|3|1|1,7,114,206350,silent,206236
11,23|6|5|5|2|2|1,7,101,197538,silent,197437
11,23|6|5|4|4|1|1,7,92,172516,silent,172424
11,23|6|5|4|3|2|1,7,206,494596,silent,494390
11,23|6|5|4|2|2|2,7,111,201399,silent,201288
11,23|6|5|3|3|3|1,7,24,172089,silent,172065
11,23|6|5|3|3|2|2,7,44,206609,silent,206565
11,23|6|4|4|4|2|1,7,89,149383,silent,149294
11,23|6|4|4|3|3|1,7,30,159424,silent,159394
11,23|6|4|4|3|2|2,7,72,184192,silent,184120
11,23|6|4|3|3|3|2,7,1,104421,silent,104420
11,23|6|3|3|3|3|3,7,0,-1,a0,
11,23|5|5|5|4|1|1,7,30,50899,silent,50869
11,23|5|5|5|3|2|1,7,37,115526,silent,115489
11,23|5|5|5|2|2|2,7,6,42636,silent,42630
11,23|5|5|4|4|2|1,7,48,113573,silent,113525
11,23|5|5|4|3|3|1,7,28,116122,silent,116094
11,23|5|5|4|3|2|2,7,33,130578,silent,130545
11,23|5|5|3|3|3|2,7,5,61581,silent,61576
11,23|5|4|4|4|3|1,7,26,57079,silent,57053
11,23|5|4|4|4|2|2,7,31,53663,silent,53632
11,23|5|4|4|3|3|2,7,7,72336,silent,72329
11,23|5|4|3|3|3|3,7,0,-1,a0,
11,23|4|4|4|4|4|1,7,8,5315,silent,5307
11,23|4|4|4|4|3|2,7,7,14761,silent,14754
11,23|4|4|4|3|3|3,7,0,-1,a0,
11,22|17|1|1|1|1|1,7,0,-1,a0,
11,22|16|2|1|1|1|1,7,0,-1,a0,
11,22|15|3|1|1|1|1,7,0,-1,a0,
11,22|15|2|2|1|1|1,7,0,-1,a0,
11,22|14|4|1|1|1|1,7,2,7363,silent,7361
11,22|14|3|2|1|1|1,7,9,12296,silent,12287
11,22|14|2|2|2|1|1,7,9,4751,silent,4742
11,22|13|5|1|1|1|1,7,7,16187,silent,16180
11,22|13|4|2|1|1|1,7,32,39640,silent,39608
11,22|13|3|3|1|1|1,7,26,25222,silent,25196
11,22|13|3|2|2|1|1,7,59,31272,silent,31213
11,22|13|2|2|2|2|1,7,39,7660,silent,7621
11,22|12|6|1|1|1|1,7,16,26944,silent,26928
11,22|12|5|2|1|1|1,7,85,88083,silent,87998
11,22|12|4|3|1|1|1,7,92,99894,silent,99802
11,22|12|4|2|2|1|1,7,149,101297,silent,101148
11,22|12|3|3|2|1|1,7,101,79927,silent,79826
11,22|12|3|2|2|2|1,7,122,47059,silent,46937
11,22|12|2|2|2|2|2,7,46,6710,silent,6664
11,22|11|7|1|1|1|1,7,20,33657,silent,33637
11,22|11|6|2|1|1|1,7,127,139188,silent,139061
11,22|11|5|3|1|1|1,7,213,226979,silent,226766
11,22|11|5|2|2|1|1,7,295,214543,silent,214248
11,22|11|4|4|1|1|1,7,92,117917,silent,117825
11,22|11|4|3|2|1|1,7,327,314006,silent,313679
11,22|11|4|2|2|2|1,7,280,146254,silent,145974
11,22|11|3|3|3|1|1,7,56,87241,silent,87185
11,22|11|3|3|2|2|1,7,134,121583,silent,121449
11,22|11|3|2|2|2|2,7,94,37181,silent,37087
11,22|10|8|1|1|1|1,7,23,29142,silent,29119
11,22|10|7|2|1|1|1,7,145,155743,silent,155598
11,22|10|6|3|1|1|1,7,290,336763,silent,336473
11,22|10|6|2|2|1|1,7,356,308492,silent,308136
11,22|10|5|4|1|1|1,7,274,320491,silent,320217
11,22|10|5|3|2|1|1,7,633,664165,silent,663532
11,22|10|5|2|2|2|1,7,416,282605,silent,282189
11,22|10|4|4|2|1|1,7,318,378907,silent,378589
11,22|10|4|3|3|1|1,7,223,346906,silent,346683
